epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,24921.5,0.59315,0.40964,1.05679,0.99207,0.84091,0.93624,0.73538,0.57865,0.38241,1.01863,0.0004688,0.0004688,0.0004688
60,25096.6,0.58604,0.41557,1.05366,1,0.79353,0.92034,0.72983,0.52227,0.3788,0.95915,0.0004424,0.0004424,0.0004424
61,25335.1,0.55754,0.41359,1.04332,0.99511,0.84091,0.94509,0.77194,0.54344,0.38394,0.96806,0.000416,0.000416,0.000416
62,25508.2,0.55967,0.40481,1.04903,0.93162,0.92897,0.95619,0.74353,0.59439,0.39701,0.96377,0.0003896,0.0003896,0.0003896
63,25686.7,0.5378,0.38936,1.02952,0.91727,0.90909,0.94901,0.75965,0.56746,0.40651,0.9486,0.0003632,0.0003632,0.0003632
64,25926.9,0.55858,0.39473,1.03934,0.98705,0.88636,0.94883,0.7458,0.57915,0.41854,0.95576,0.0003368,0.0003368,0.0003368
65,26104.7,0.57569,0.38907,1.03499,0.95085,0.88636,0.94603,0.73293,0.74893,0.44647,0.99941,0.0003104,0.0003104,0.0003104
66,26281.5,0.63161,0.42114,1.06126,0.95121,0.88615,0.92634,0.72128,0.72978,0.40571,1.00695,0.000284,0.000284,0.000284
67,26495.3,0.58714,0.35554,1.03297,0.97429,0.86147,0.93068,0.75423,0.66005,0.36587,0.96367,0.0002576,0.0002576,0.0002576
68,26786,0.57103,0.33461,1.02306,0.93146,0.92673,0.95769,0.78412,0.6198,0.42334,0.94433,0.0002312,0.0002312,0.0002312
69,26960.7,0.56409,0.32725,1.01485,1,0.79208,0.91136,0.73586,0.55274,0.39072,0.93846,0.0002048,0.0002048,0.0002048
70,27135.7,0.54894,0.31788,1.0065,1,0.81634,0.94923,0.7478,0.66294,0.41238,0.96155,0.0001784,0.0001784,0.0001784
71,27314.8,0.55401,0.31281,1.01281,0.99263,0.84091,0.94194,0.75181,0.61038,0.43345,0.94659,0.000152,0.000152,0.000152
72,27491.6,0.53819,0.32011,1.01077,0.9673,0.84091,0.9184,0.75354,0.58369,0.39343,0.95328,0.0001256,0.0001256,0.0001256
73,27666.6,0.54492,0.31141,1.00543,1,0.81339,0.9128,0.75172,0.55483,0.39843,0.92847,9.92e-05,9.92e-05,9.92e-05
74,27841.5,0.53109,0.30238,0.99515,0.88883,0.90909,0.93516,0.75195,0.558,0.37964,0.92462,7.28e-05,7.28e-05,7.28e-05
75,28055.2,0.5209,0.29794,0.99266,0.9521,0.90355,0.9405,0.75513,0.56599,0.38912,0.92983,4.64e-05,4.64e-05,4.64e-05
